Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2019-05-26,Zebu,2015,Bangalore,['Team of Waterloo-based software developers'],Undisclosed,4000000.0,Seed round,2019,Other,1,1
2019-06-07,WishADish,2015,Delhi,"['Sawan Kumar', ' Bhavya Bhambhani']",Undisclosed,6000000.0,Series A,2019,Consumables,2,1
2019-06-13,VMate,2015,Bangalore,"['Vivek Gupta', ' Abhay Hanjura']",Alibaba,100000000.0,Series A,2019,Media/Entertainment,2,1
2019-06-21,Cub McPaws,2010,Mumbai,"['Abhay Bhat', ' Kinnar Shah']",Venture Catalysts,6000000.0,Series A,2019,E-Commerce,2,1
2019-06-21,Lil’ Goodness and sCool meal,2015,Bangalore,"['Vivek Gupta', ' Abhay Hanjura']","Sajan Pillai, Muthu Krishnan,",400000.0,Series A,2019,Consumables,2,3
2019-06-23,Cuemath,2013,Bangalore,['Manan Khurma'],"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Series A,2019,Education,1,3
2019-06-24,Toffee Insurance,2017,Haryana,"['Nishant Jain', ' Rohan Kumar']",IVM Intersurer,5500000.0,Series A,2019,Finance,2,1
2019-06-28,Kaleidofin,2018,Chennai,"['Puneet Gupta', ' Sucharita Mukherjee']",Oikocredit,5000000.0,Series A,2019,FinTech,2,1
2019-07-10,HomeLane,2014,Chennai,"['Srikanth Iyer', ' Rama Harinath']","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019,Real Estate,2,3
2019-07-16,CarDekho,2008,Jaipur,['Amit Jain'],"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019,Automotive,1,3
2019-07-17,Sportido,2015,Noida,"['Neeraj Aggarwala', ' Akhil Ramachandran']","Inflection Point Ventures, SucSEED Venture Partners.",6000000.0,Series B,2019,Gaming,2,2
2019-07-20,eJOHRI,2015,Mumbai,"['Jignesh Mehta', ' Shailen Mehta']",Rajesh Ranavat,1000000.0,Pre series A,2019,Other,2,1
2019-08-04,DROR Labs Pvt. Ltd,2018,Delhi,"['Dhiraj Naubhar', ' Dheeraj Bansal']",Inflection Point Ventures,6000000.0,Series A,2019,Technology,2,1
2019-08-08,Pristyn Care,2018,Bangalore,"['Harsimarbir Singh', ' Dr Vaibhav Kapoor', ' Dr Garima Sawhney']","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019,Automotive,3,4
2019-08-10,SalaryFits,2015,Bangalore,['Renato Araujo'],Brazilian VC Fund Confrapar,5000000.0,Series A,2019,FinTech,1,1
2019-08-19,HungerBox,2015,Bangalore,"['Sandipan Mitra', ' Uttam Kumar']","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019,Consumables,2,4
2019-09-01,Bombay Shaving,2015,Bangalore,['Shantanu Deshpande'],Sixth Sense Ventures,6300000.0,Series A,2019,E-Commerce,1,1
2019-09-03,Ruangguru,2014,Mumbai,"['Adamas Belva Syah Devara', ' Iman Usman.']",General Atlantic,150000000.0,Series C,2019,Education,2,1
2019-09-12,TapChief,2016,Bangalore,"['Shashank Murali', ' Binay Krishna', ' Arjun Krishna']",Blume Ventures.,1500000.0,Pre series A,2019,Technology,3,1
2019-09-12,Ecom Express,2012,Gurugram,"['Krishnan', ' Manju Dhawan', ' K Satyanarayana', ' Sanjeev Saxena']",CDC Group,36000000.0,Series A,2019,Logistics,4,1
2019-09-12,Asteria Aerospace,2011,Bangalore,"['Neel Mehta', ' Nihar Vartak']",Reliance Industries,230000000.0,Series A,2019,Technology,2,1
2019-09-14,Sarva,2015,Chennai,['Sarvesh Shashi'],"Venture fund, Fireside Ventures.",2800000.0,Series A,2019,Wellness/Beauty,1,2
2019-09-14,Cubical Labs,2013,Bangalore,"['Dhruv Ratra', ' Swati Vyas']",Rockstud Capital,6000000.0,Series B,2019,Technology,2,1
2019-09-25,Stanza Living,2017,Delhi,"['Sandeep Dalmia', ' Anindya Dutta']",Alteria Capital,5700000.0,Series A,2019,Real Estate,2,1
2019-09-27,Observe.AI,2015,Bangalore,['Swapnil'],Scale Venture Partners,26000000.0,Series A,2019,Technology,1,1
2019-10-04,Lenskart,2010,Delhi,"['Peyush Bansal', ' Amit Chaudhary', ' Sumeet Kapahi']",SoftBank,275000000.0,Series G,2019,E-Commerce,3,1
2019-10-05,Byju's,2011,Bangalore,['Byju Raveendran'],"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Series A,2019,Education,1,2
