Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-02-20,UrbanClap,Series D,50000000.0,2018,2016,Delhi,Technology
2018-02-20,Wealthtrust,Seed,500000.0,2018,2016,Mumbai,Finance
2018-02-22,Hashtag Loyalty Private Limited,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
2018-02-23,Eduvanz,Angel,500000.0,2018,2016,Mumbai,Finance
2018-02-26,TheCollegeFever,Seed,250000.0,2018,2016,Bangalore,Marketing
2018-02-26,Hippo Video,Seed,5800000.0,2018,2016,Chennai,Media/Entertainment
2018-02-27,Satvacart,Seed,5800000.0,2018,2016,Gurugram,Consumables
2018-02-28,Asset Reconstruction Company (India) Ltd.,Seed,5800000.0,2018,2016,Mumbai,Finance
2018-02-28,MobiKwik,Series E,240000000.0,2018,2016,Gurugram,FinTech
2018-03-01,Loadshare,Series A,5000000.0,2018,2016,Bangalore,Automotive
2018-03-02,Blueleaf Cyberspace Systems,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-03-02,Arogya MedTech,Seed,15000000.0,2018,2016,Kolkata,Automotive
2018-03-02,DocPrime,Seed,50000000.0,2018,2016,Haryana,Automotive
2018-03-02,Scapic,Seed,500000.0,2018,2016,Bangalore,Technology
2018-03-04,AppWharf,Seed,5800000.0,2018,2016,Delhi,Technology
2018-03-04,Wow Express,Series A,4500000.0,2018,2016,Mumbai,Technology
2018-03-05,Shirsa Labs,Seed,500000.0,2018,2016,Mumbai,Gaming
2018-03-05,Portea Medical,Seed,250000000.0,2018,2016,Bangalore,Automotive
2018-03-07,Chezuba,Angel,1400000.0,2018,2016,Hyderabad,Technology
2018-03-08,Chizel,Seed,5800000.0,2018,2016,Pune,Manufacture
2018-03-09,APAC Financial Services,Seed,-2147483648.0,2018,2016,Mumbai,Finance
2018-03-09,Leena AI,Seed,2000000.0,2018,2016,Gurugram,Technology
2018-03-11,Mate Labs,Seed,550000.0,2018,2016,Bangalore,Technology
2018-03-12,OYO,Series E,100000000.0,2018,2016,Gurugram,Hospitality
2018-03-13,Strom Motors,Angel,5800000.0,2018,2016,Mumbai,Automotive
2018-03-16,Buddy4Study.com,Series A,3000000.0,2018,2016,Noida,Automotive
2018-03-17,Emojifi,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-03-17,Gramophone,Seed,1000000.0,2018,2016,Indore,Agriculture
2018-03-18,AuthMetrik,Grant,10000.0,2018,2016,Gurugram,E-Commerce
2018-03-19,Agricxlab Private Limited,Seed,500000.0,2018,2016,Thane,E-Commerce
2018-03-19,Dream11,Series D,100000000.0,2018,2016,Mumbai,Gaming
2018-03-19,Aviom India Housing Finance,Series A,150000000.0,2018,2016,Delhi,Finance
2018-03-20,Wide Mobility Mechatronics,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-03-21,Stelis Biopharma,Series B,100000000.0,2018,2016,Bangalore,Healthcare
2018-03-21,Knocksense,Seed,5800000.0,2018,2016,Lucknow,Media/Entertainment
2018-03-23,Stones2Milestones,Seed,5800000.0,2018,2016,Gurugram,Education
2018-03-23,NIRA,Seed,1000000.0,2018,2016,Bangalore,FinTech
2018-03-24,GoZefo,Venture - Series Unknown,210000000.0,2018,2016,Bangalore,Technology
2018-03-24,FarmTaaza,Series A,5800000.0,2018,2016,Bangalore,Agriculture
2018-03-24,Orbo.ai,Seed,5800000.0,2018,2016,Mumbai,Technology
2018-03-25,SectorQube,Seed,5800000.0,2018,2016,Ernakulam,Consumer Services
2018-03-25,Vokal,Series A,1500000.0,2018,2016,Bangalore,Technology
2018-03-25,Licious,Series C,25000000.0,2018,2016,Bangalore,Consumables
2018-03-26,Goals101,Seed,3500000.0,2018,2016,Delhi,Finance
2018-03-26,RevFin,Seed,5800000.0,2018,2016,Delhi,Finance
2018-03-26,FabAlley,Series B,600000000.0,2018,2016,Noida,Lifestyle
2018-03-26,Roposo,Series C,10000000.0,2018,2016,Gurugram,Media/Entertainment
2018-03-30,hoi foods,Seed,36000000.0,2018,2016,Gurugram,Consumables
2018-03-31,HyperXchange,Series A,1000000.0,2018,2016,Pune,E-Commerce
2018-04-02,Twenty Two Motors,Corporate Round,65000000.0,2018,2016,Haryana,Energy
2018-04-02,GamingMonk,Series A,40000000.0,2018,2016,Delhi,Gaming
2018-04-02,Trell,Seed,1250000.0,2018,2016,Bangalore,Technology
2018-04-02,OTO Capital,Seed,50000000.0,2018,2016,Mumbai,Automotive
2018-04-03,Wellthy Therapeutics Pvt Ltd,Seed,135000000.0,2018,2016,Mumbai,Automotive
2018-04-03,HungerBox,Series A,4500000.0,2018,2016,Bangalore,Consumables
2018-04-07,Zyla Health,Seed,5800000.0,2018,2016,Delhi,Hospitality
2018-04-09,Wakefit,Venture - Series Unknown,650000000.0,2018,2016,Bangalore,Consumer Services
2018-04-10,Wicked Ride Adventure Services Private Limited,Venture - Series Unknown,10000000.0,2018,2016,Bangalore,Automotive
2018-04-12,Khabri,Seed,5800000.0,2018,2016,Haryana,Technology
2018-04-13,Dee Dee Labs,Seed,5800000.0,2018,2016,Pune,Automotive
2018-04-14,Career Anna,Seed,40000000.0,2018,2016,Bangalore,Education
2018-04-14,Rays Power Infra,Venture - Series Unknown,2000000000.0,2018,2016,Jaipur,Energy
2018-04-15,Rocketium,Seed,20000000.0,2018,2016,Bangalore,Media/Entertainment
2018-04-16,Steradian Semiconductors,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-18,LetsTransport,Series B,1000000000.0,2018,2016,Bangalore,Logistics
2018-04-18,Hansel.io,Series A,4000000.0,2018,2016,Bangalore,Technology
2018-04-19,Connect India,Angel,5800000.0,2018,2016,Delhi,Logistics
2018-04-21,Rubix108 Technologies,Seed,1000000.0,2018,2016,Pune,Technology
2018-04-22,Mihuru,Seed,150000.0,2018,2016,Mumbai,Logistics
2018-04-23,Biryani By Kilo,Seed,1000000.0,2018,2016,Noida,Consumables
2018-04-26,RAHI Care,Venture - Series Unknown,5800000.0,2018,2016,Chandigarh,Automotive
2018-04-26,Locus.sh,Series A,4000000.0,2018,2016,Bangalore,Logistics
2018-04-27,DheeYantra Research Labs,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-04-28,Multibashi,Seed,10000000.0,2018,2016,Bangalore,Education
2018-04-28,Silversparro Technologies Pvt. Ltd,Seed,300000.0,2018,2016,Gurugram,Technology
2018-04-29,Moonshine Meadery,Seed,5800000.0,2018,2016,Pune,Consumables
2018-04-29,Belstar Investment and Finance Private Limited,Venture - Series Unknown,28000000.0,2018,2016,Chennai,Finance
2018-04-30,Predible Health,Seed,5800000.0,2018,2016,Bangalore,Healthcare
2018-04-30,Rockmetric,Grant,5800000.0,2018,2016,Mumbai,Technology
2018-05-01,Acko General Insurance,Series A,12000000.0,2018,2016,Mumbai,Media/Entertainment
2018-05-01,ZestMoney,Series A,13400000.0,2018,2016,Bangalore,FinTech
2018-05-01,MCaffeine,Seed,32000000.0,2018,2016,Mumbai,Consumer Services
2018-05-02,Azure Power,Post-IPO Equity,185000000.0,2018,2016,Delhi,Energy
2018-05-03,Wimoxez,Seed,20000.0,2018,2016,Hyderabad,Technology
2018-05-04,IndigoLearn,Seed,150000.0,2018,2016,Hyderabad,Education
2018-05-04,Streo,Seed,5800000.0,2018,2016,Gurugram,Media/Entertainment
2018-05-05,9stacks,Series A,280000000.0,2018,2016,Delhi,Gaming
2018-05-09,PregBuddy,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-05-11,Flyrobe,Series B,264000000.0,2018,2016,Mumbai,Lifestyle
2018-05-11,Vahdam Teas,Series B,2500000.0,2018,2016,Delhi,Consumables
2018-05-11,FreightBazaar,Seed,5800000.0,2018,2016,Hyderabad,Logistics
2018-05-11,Livehealth,Seed,1100000.0,2018,2016,Pune,Automotive
2018-05-12,Hasura,Seed,1600000.0,2018,2016,Bangalore,Technology
2018-05-13,Pratilipi,Series A,4300000.0,2018,2016,Bangalore,Media/Entertainment
2018-05-13,Planet11 eCommerce Solutions India (Avenue11),Corporate Round,260000000.0,2018,2016,Bangalore,Technology
2018-05-13,Cloudnine Hospitals,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-05-14,Sportido,Seed,5800000.0,2018,2016,Noida,Gaming
2018-05-15,Hyperdata.IO,Angel,50000000.0,2018,2016,Hyderabad,Marketing
2018-05-15,Go Payments,Corporate Round,5800000.0,2018,2016,Mumbai,Technology
2018-05-16,Carmel Organics,Series A,5800000.0,2018,2016,Indore,Manufacture
2018-05-16,Stanza Living,Venture - Series Unknown,730000000.0,2018,2016,Delhi,Hospitality
2018-05-16,HealWell24,Seed,200000.0,2018,2016,Mumbai,Automotive
2018-05-17,SEDEMAC Mechatronics,Venture - Series Unknown,5800000.0,2018,2016,Mumbai,Energy
2018-05-17,Vistara,Seed,-2147483648.0,2018,2016,Haryana,Technology
2018-05-17,Cashkumar,Seed,50000000.0,2018,2016,Bangalore,FinTech
2018-05-17,artbandhu,Pre-Seed,15000.0,2018,2016,Bangalore,Media/Entertainment
2018-05-19,PayMe India,Angel,2000000.0,2018,2016,Noida,FinTech
2018-05-20,Printline Media(ThePrint),Seed,34900000.0,2018,2016,Delhi,Media/Entertainment
2018-05-22,FastFox,Series A,100000000.0,2018,2016,Gurugram,Logistics
2018-05-25,Wishup,Seed,5800000.0,2018,2016,Azadpur,Consumer Services
2018-05-27,Hubhopper,Series A,500000.0,2018,2016,Delhi,Gaming
2018-05-28,myHQ,Series A,500000.0,2018,2016,Delhi,Education
2018-05-28,Classworks India,Seed,100000.0,2018,2016,Chennai,Education
2018-05-29,True Elements,Seed,50000000.0,2018,2016,Pune,Consumables
2018-05-29,Med365 Healthcare,Seed,50000000.0,2018,2016,Jaipur,Healthcare
2018-05-31,Fyle,Seed,1100000.0,2018,2016,Bangalore,Logistics
2018-05-31,Jagaran Microfin,Seed,550000000.0,2018,2016,Kolkata,Finance
2018-06-01,PerkFinance,Seed,900000.0,2018,2016,Bangalore,FinTech
2018-06-01,Wedeterna,Angel,5800000.0,2018,2016,Bangalore,Other
2018-06-02,Shape (School Health and Physical Education),Seed,200000.0,2018,2016,Pune,Education
2018-06-03,McXtra,Seed,1300000.0,2018,2016,Andheri,Finance
2018-06-03,EGK Foods,Seed,20000000.0,2018,2016,Mumbai,Consumables
2018-06-04,AgNext Technologies,Series A,5800000.0,2018,2016,Mohali,Agriculture
2018-06-05,Em Personal Care,Seed,5800000.0,2018,2016,Worli,Wellness/Beauty
2018-06-06,Veritas Finance,Venture - Series Unknown,30000000.0,2018,2016,Guindy,Finance
2018-06-06,ORO Wealth,Series A,1600000.0,2018,2016,Mumbai,Finance
2018-06-07,Lavelle Networks,Venture - Series Unknown,20000000.0,2018,2016,Bangalore,Technology
2018-06-07,SBI Life,Seed,742000000.0,2018,2016,Mumbai,Finance
